cycle,branch,model,modeldate,candidate_inc,candidate_chal,scenario_id,probability,scenario_description,timestamp,simulations
2020,President,polls-plus,9/22/2020,Trump,Biden,10,0.003625,Trump landslide (double-digit popular vote margin),22/09/2020 19:00,40000
2020,President,polls-plus,9/21/2020,Trump,Biden,9,0.8315,Biden majority (at least 50 percent of the vote),21/09/2020 19:00,40000
2020,President,polls-plus,9/21/2020,Trump,Biden,8,0.082625,Trump majority (at least 50 percent of the vote),21/09/2020 19:00,40000
2020,President,polls-plus,9/21/2020,Trump,Biden,6,0.1092875,Biden wins popular vote but loses Electoral College,21/09/2020 19:00,40000
2020,President,polls-plus,9/21/2020,Trump,Biden,5,0.0009,Trump wins popular vote but loses Electoral College,21/09/2020 19:00,40000
2020,President,polls-plus,9/21/2020,Trump,Biden,4,0.880325,Biden wins popular vote,21/09/2020 19:00,40000
2020,President,polls-plus,9/21/2020,Trump,Biden,3,0.119675,Trump wins popular vote,21/09/2020 19:00,40000
2020,President,polls-plus,9/21/2020,Trump,Biden,2,0.05225,Recount (1+ decisive states within 0.5 ppt),21/09/2020 19:00,40000
2020,President,polls-plus,9/21/2020,Trump,Biden,1,0.005425,Electoral College deadlock (No candidate gets 270 electoral votes),21/09/2020 19:00,40000
2020,President,polls-plus,9/21/2020,Trump,Biden,14,0.91875,Biden wins at least one state Trump won in 2016,21/09/2020 19:00,40000
2020,President,polls-plus,9/21/2020,Trump,Biden,13,0.37275,Trump wins at least one state Clinton won in 2016,21/09/2020 19:00,40000
2020,President,polls-plus,9/21/2020,Trump,Biden,12,0.0005,Map exactly the same as in 2016,21/09/2020 19:00,40000
2020,President,polls-plus,9/21/2020,Trump,Biden,11,0.30065,Biden landslide (double-digit popular vote margin),21/09/2020 19:00,40000
2020,President,polls-plus,9/21/2020,Trump,Biden,10,0.003825,Trump landslide (double-digit popular vote margin),21/09/2020 19:00,40000
2020,President,polls-plus,9/20/2020,Trump,Biden,9,0.826225,Biden majority (at least 50 percent of the vote),20/09/2020 22:02,40000
2020,President,polls-plus,9/20/2020,Trump,Biden,8,0.0863,Trump majority (at least 50 percent of the vote),20/09/2020 22:02,40000
2020,President,polls-plus,9/20/2020,Trump,Biden,6,0.105675,Biden wins popular vote but loses Electoral College,20/09/2020 22:02,40000
2020,President,polls-plus,9/20/2020,Trump,Biden,5,0.0013125,Trump wins popular vote but loses Electoral College,20/09/2020 22:02,40000
2020,President,polls-plus,9/20/2020,Trump,Biden,4,0.87565,Biden wins popular vote,20/09/2020 22:02,40000
2020,President,polls-plus,9/20/2020,Trump,Biden,3,0.12435,Trump wins popular vote,20/09/2020 22:02,40000
2020,President,polls-plus,9/20/2020,Trump,Biden,2,0.05295,Recount (1+ decisive states within 0.5 ppt),20/09/2020 22:02,40000
2020,President,polls-plus,9/20/2020,Trump,Biden,1,0.005875,Electoral College deadlock (No candidate gets 270 electoral votes),20/09/2020 22:02,40000
2020,President,polls-plus,9/20/2020,Trump,Biden,14,0.91865,Biden wins at least one state Trump won in 2016,20/09/2020 22:02,40000
2020,President,polls-plus,9/20/2020,Trump,Biden,13,0.374575,Trump wins at least one state Clinton won in 2016,20/09/2020 22:02,40000
2020,President,polls-plus,9/20/2020,Trump,Biden,12,0.000525,Map exactly the same as in 2016,20/09/2020 22:02,40000
2020,President,polls-plus,9/20/2020,Trump,Biden,11,0.295975,Biden landslide (double-digit popular vote margin),20/09/2020 22:02,40000
2020,President,polls-plus,9/20/2020,Trump,Biden,10,0.004125,Trump landslide (double-digit popular vote margin),20/09/2020 22:02,40000
2020,President,polls-plus,9/19/2020,Trump,Biden,9,0.8249,Biden majority (at least 50 percent of the vote),19/09/2020 19:00,40000
2020,President,polls-plus,9/19/2020,Trump,Biden,8,0.08715,Trump majority (at least 50 percent of the vote),19/09/2020 19:00,40000
2020,President,polls-plus,9/19/2020,Trump,Biden,6,0.10175,Biden wins popular vote but loses Electoral College,19/09/2020 19:00,40000
2020,President,polls-plus,9/19/2020,Trump,Biden,5,0.0014,Trump wins popular vote but loses Electoral College,19/09/2020 19:00,40000
2020,President,polls-plus,9/19/2020,Trump,Biden,4,0.87435,Biden wins popular vote,19/09/2020 19:00,40000
