Day,Len,State,EV,Dem,GOP,Ind,Date,,,,,,,,Pollster
256.0,3,Iowa,6,37,45,08,Sep 14,,,,,,,,Monmouth U.-3
250.0,3,Iowa,6,39,40,10,Sep 08,,,,,,,,RABA Research-3
243.5,2,Iowa,6,39,44,08,Sep 01,,,,,,,,Emerson Coll.-2
242.5,2,Iowa,6,45,43,,Aug 31,,,,,,,,PPP-2
232.5,24,Iowa,6,36,40,16,Sep 01,,,,,,,,SurveyMonkey-24
230.0,3,Iowa,6,40,40,07,Aug 19,,,,,,,,YouGov-3
224.5,8,Iowa,6,41,39,12,Aug 16,,,,,,,,Quinnipiac U.-8
221.0,3,Iowa,6,36,37,06,Aug 10,,,,,,,,Suffolk U.-3
217.0,5,Iowa,6,35,35,12,Aug 07,,,,,,,,Marist Coll.-5
195.0,3,Iowa,6,39,40,03,Jul 15,,,,,,,,YouGov-3
190.5,4,Iowa,6,42,44,06,Jul 11,,,,,,,,Monmouth U.-4
188.5,2,Iowa,6,42,40,08,Jul 08,,,,,,,,Gravis-2
188.5,6,Iowa,6,37,37,07,Jul 10,,,,,,,,Marist Coll.-6
177.0,5,Iowa,6,44,31,06,Jun 28,,,,,,,,Loras Coll.-5
173.5,2,Iowa,6,41,39,,Jun 23,,,,,,,,PPP-2
162.0,5,Iowa,6,44,41,,Jun 13,,,,,,,,PPP-5
136.0,31,Iowa,6,40,40,,May 31,,,,,,,,Morning Consult-31
 46.0,29,Iowa,6,45,38,,Feb 29,,,,,,,,Morning Consult-29
  9.0,3,Iowa,6,42,42,,Jan 10,,,,,,,,PPP-3
  4.5,6,Iowa,6,48,40,,Jan 07,,,,,,,,Marist Coll.-6
  1.0,1,Iowa,6,52,47,,Jan 01,,,,,,,,Election 2012-1
335.0,1,Kansas,6,36,58,04,Dec 01,,,,,,,,2016 Election results-1
307.0,7,Kansas,6,36,48,10,Nov 06,,,,,,,,SurveyMonkey-7
306.0,3,Kansas,6,34,58,07,Nov 03,,,,,,,,Fort Hays State U.-3
301.0,5,Kansas,6,38,49,07,Oct 30,,,,,,,,SurveyUSA-5
